Year,Market,Stock 1,Stock 2,Stock 3
1,1908,165,123,72.5
2,2615,370,195,112.5
3,3346,575,250,295
4,3927,590,260,350
5,3110,624,258,208
6,3085,807.75,218.75,331.25
7,3659,1383.5,202.75,321.5
8,3055,1465,147,167.5
9,5006,1294.5,368,373.7
10,3972,484.5,194.7,156.5
11,3262,223.65,191.4,89.25
12,3377,181.75,213.55,112.7
13,5839,204.7,527.35,389.05
14,6603,143.5,982,544.5
15,9398,197.25,1544.2,512.05
16,13787,216.55,1442.95,905.85
17,20287,213.9,1271.85,860.8
18,9647,250.25,774.4,674.85
19,17465,264.75,1679.4,1080.8
20,20509,312.3,1979.05,777.55
21,15454,407.8,995.1,683.05
22,19426,524.7,1605.85,930
23,21170,570.95,1069.9,943.5
24,21856,559.4,1218.55,991.05
25,22600,600.25,1425.6,1025.69
26,24500,630.89,1522.89,1126.54
